district,fiscal_year,check,name,car,audited,gap,gap_pct,flag
Des Moines Independent CSD,2023,C18_fb_pct_exp,Fund balance % of expenditure,37.27,37.88,-0.61,,
Des Moines Independent CSD,2023,C17_solvency,Solvency ratio %,33.06,34.5,-1.44,,
Des Moines Independent CSD,2023,C14_cash,GF operating cash,201683850.93,196551332.0,5132518.93,2.61,Y
Des Moines Independent CSD,2023,C15_days_cash,Days cash on hand,148.86,147.42,1.43,,
Des Moines Independent CSD,2023,C6_rollforward,CAR begin = prior CAR end,179845919.84,179845919.84,0.0,0.0,
Des Moines Independent CSD,2023,C7_begin_vs_audit,CAR begin vs prior audited end,179845919.84,179845901.0,18.84,0.0,
Des Moines Independent CSD,2023,C8_net_change,Net change in fund balance,4480942.07,4480961.0,-18.93,-0.0,
Dubuque CSD,2018,C6_rollforward,CAR begin = prior CAR end,16228439.0,16228439.0,0.0,0.0,
Dubuque CSD,2019,C6_rollforward,CAR begin = prior CAR end,17982649.32,17982649.0,0.32,0.0,
Dubuque CSD,2020,C1_ending,Ending GF fund balance,18125154.1,18125154.0,0.1,0.0,
Dubuque CSD,2020,C10_revenue,GF revenue,132621156.57,132171981.0,449175.57,0.34,
Dubuque CSD,2020,C11_expenditure,GF expenditure,132694543.09,132654280.0,40263.09,0.03,
Dubuque CSD,2020,C13_margin,Operating margin %,-0.06,-0.36,0.3,,
Dubuque CSD,2020,C18_fb_pct_exp,Fund balance % of expenditure,13.66,13.66,-0.0,,
Dubuque CSD,2020,C6_rollforward,CAR begin = prior CAR end,18198540.62,18198540.62,0.0,0.0,
Dubuque CSD,2021,C1_ending,Ending GF fund balance,24931146.13,24931146.0,0.13,0.0,
Dubuque CSD,2021,C10_revenue,GF revenue,145199754.01,145074388.0,125366.01,0.09,
Dubuque CSD,2021,C11_expenditure,GF expenditure,138393761.98,137835817.0,557944.98,0.4,
Dubuque CSD,2021,C13_margin,Operating margin %,4.69,4.99,-0.3,,
Dubuque CSD,2021,C18_fb_pct_exp,Fund balance % of expenditure,18.01,18.09,-0.07,,
Dubuque CSD,2021,C6_rollforward,CAR begin = prior CAR end,18125154.1,18125154.1,0.0,0.0,
Dubuque CSD,2021,C7_begin_vs_audit,CAR begin vs prior audited end,18125154.1,18125154.0,0.1,0.0,
